EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,JobFunctionDescription,GenderCode,,,.,,,,
3427,Uriah,Bridges,20-Sep-19,,Production Technician I,Peter Oneill,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,Accounting,Female,,,,,,,
3428,Paula,Small,11-Feb-23,,Production Technician I,Renee Mccormick,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,Labor,Male,,,,,,,
3429,Edward,Buck,10-Dec-18,,Area Sales Manager,Crystal Walker,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,Assistant,Male,,,,,,,
3430,Michael,Riordan,21-Jun-21,,Area Sales Manager,Rebekah Wright,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,Clerk,Male,,,,,,,
3431,Jasmine,Onque,29-Jun-19,,Area Sales Manager,Jason Kim,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,Laborer,Female,,,,,,,
3432,Maruk,Fraval,17-Jan-20,,Area Sales Manager,Sheri Campos,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Driver,Male,,,,,,,
3433,Latia,Costa,06-Apr-22,03-Jul-23,Area Sales Manager,Jacob Braun,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,Technician,Female,,,,,,,
3434,Sharlene,Terry,06-Nov-20,29-Jan-23,Area Sales Manager,Tracy Marquez,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,Engineer,Female,,,,,,,
3435,Jac,McKinzie,18-Aug-18,,Area Sales Manager,Sharon Becker,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,Executive Assistant,Male,,,,,,,
3436,Joseph,Martins,21-Jan-22,29-Jun-23,Area Sales Manager,George Jenkins,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,Engineer,Male,,,,,,,
3437,Myriam,Givens,04-Aug-23,,Area Sales Manager,Troy White,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,Technician,Female,,,,,,,
3438,Dheepa,Nguyen,10-Aug-18,04-Nov-19,Area Sales Manager,Brian Miller,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Technician,Female,,,,,,,
